"H1","Label","Area","Perim."
"7","122:NI-K-30","42187","800.975"
"8","122:NI-K-35","42200","792.004"
"9","122:NI-K-40","42201","801.318"
"10","122:NI-K-45","42218","792.004"
"11","122:NI-K-50","42219","812.632"
"12","122:NI-K-55","42197","793.075"
"13","122:NI-K-60","42209","790.690"
"1","123:NI-K-00","31569","681.151"
"2","123:NI-K-05","31598","681.394"
"3","123:NI-K-10","31642","678.080"
"4","123:NI-K-15","31656","682.465"
"5","123:NI-K-20","31689","681.495"
"6","123:NI-K-25","31729","678.423"
"7","123:NI-K-30","31758","680.080"
"8","123:NI-K-35","31804","681.495"
"9","123:NI-K-40","31861","683.980"
"10","123:NI-K-45","31875","683.637"
"11","123:NI-K-50","31873","683.151"
"12","123:NI-K-55","31879","693.436"
"13","123:NI-K-60","31910","680.666"
"1","124:NI-K-00","34335","728.507"
"2","124:NI-K-05","34499","722.507"
"3","124:NI-K-10","37574","768.891"
"4","124:NI-K-15","37646","762.264"
"5","124:NI-K-20","37691","762.749"
"6","124:NI-K-25","37731","771.034"
"7","124:NI-K-30","37759","766.406"
"8","124:NI-K-35","37807","776.933"
"9","124:NI-K-40","37845","782.975"
"10","124:NI-K-45","37889","769.477"
"11","124:NI-K-50","37982","771.820"
"12","124:NI-K-55","37951","773.034"
"13","124:NI-K-60","38000","775.034"
"1","125:NI-K-00","45504","825.720"
"2","125:NI-K-05","45443","836.489"
"3","125:NI-K-10","45370","836.590"
"4","125:NI-K-15","45369","825.862"
"5","125:NI-K-20","45316","834.247"
"6","125:NI-K-25","45352","828.347"
"7","125:NI-K-30","45374","828.690"
"8","125:NI-K-35","45328","827.519"
"9","125:NI-K-40","45358","823.619"
"10","125:NI-K-45","45344","818.063"
"11","125:NI-K-50","45320","825.762"
"12","125:NI-K-55","45282","827.762"
"1","126:NI-K-00","40008","771.092"
"2","126:NI-K-05","39939","767.335"
"3","126:NI-K-10","40051","760.365"
"4","126:NI-K-15","40063","771.720"
"5","126:NI-K-20","39965","770.063"
"6","126:NI-K-25","39853","762.264"
"7","126:NI-K-30","39669","755.294"
"8","126:NI-K-35","39433","762.164"
"9","126:NI-K-40","39135","756.264"
"10","126:NI-K-45","38754","752.021"
"11","126:NI-K-50","38321","747.193"
"12","126:NI-K-55","37862","746.850"
"1","127:NI-K-00","36201","749.092"
"2","127:NI-K-05","36250","754.992"
"3","127:NI-K-10","36303","747.193"
"4","127:NI-K-15","36336","749.921"
"5","127:NI-K-20","36333","744.950"
"6","127:NI-K-25","36326","746.122"
"7","127:NI-K-30","36336","738.423"
"8","127:NI-K-35","36333","743.294"
"9","127:NI-K-40","36323","747.536"
"10","127:NI-K-45","36320","744.708"
"11","127:NI-K-50","36336","745.779"
"12","127:NI-K-55","36338","748.122"
"13","127:NI-K-60","36353","743.294"
"1","128:NI-K-00","30729","667.110"
"2","128:NI-K-05","30705","669.938"
"3","128:NI-K-10","30712","666.867"
"4","128:NI-K-15","30714","675.980"
"5","128:NI-K-20","30699","682.122"
"6","128:NI-K-25","30674","675.151"
"7","128:NI-K-30","30707","671.252"
"8","128:NI-K-35","30727","675.495"
"9","128:NI-K-40","30668","669.009"
"10","128:NI-K-45","30653","676.808"
"11","128:NI-K-50","30663","666.524"
"12","128:NI-K-55","30656","673.009"
"13","128:NI-K-60","30666","675.151"
"1","129:NI-K-00","39044","778.489"
"2","129:NI-K-05","38935","757.578"
"3","129:NI-K-10","38859","771.762"
"4","129:NI-K-15","38887","771.661"
"5","129:NI-K-20","38930","768.833"
"6","129:NI-K-25","38959","763.963"
"7","129:NI-K-30","38965","770.933"
"8","129:NI-K-35","38925","771.176"
"9","129:NI-K-40","38889","780.732"
"10","129:NI-K-45","38908","768.933"
"11","129:NI-K-50","38888","780.975"
"12","129:NI-K-55","38906","775.418"
"1","13:NI-ND-00","34322","700.181"
"2","13:NI-ND-05","34324","696.524"
"3","13:NI-ND-10","34343","699.352"
"4","13:NI-ND-15","34343","702.080"
"5","13:NI-ND-20","34350","706.808"
"6","13:NI-ND-25","34335","703.252"
"7","13:NI-ND-30","34358","697.938"
"8","13:NI-ND-35","34365","701.009"
"9","13:NI-ND-40","34372","698.867"
"10","13:NI-ND-45","34375","697.696"
"11","13:NI-ND-50","34366","700.423"
"12","13:NI-ND-55","34386","705.737"
"13","13:NI-ND-60","34391","704.323"
"1","130:NI-K-00","40539","782.489"
"2","130:NI-K-05","40620","793.117"
"3","130:NI-K-10","40600","779.862"
